"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2013","1,423.87","1,408.73","1,425.10","1,407.00","","1.14%"
"08/13/2013","1,407.86","1,387.90","1,409.91","1,387.43","","1.40%"
"08/12/2013","1,388.36","1,382.74","1,390.16","1,378.93","","0.41%"
"08/09/2013","1,382.72","1,360.82","1,384.93","1,359.98","","1.49%"
"08/08/2013","1,362.38","1,364.40","1,370.81","1,353.71","","-0.04%"
"08/07/2013","1,362.91","1,364.31","1,375.09","1,356.24","","-0.13%"
"08/06/2013","1,364.65","1,391.54","1,391.54","1,363.51","","-1.95%"
"08/05/2013","1,391.75","1,391.79","1,400.24","1,388.26","","-0.03%"
"08/02/2013","1,392.15","1,398.75","1,409.61","1,383.28","","-0.45%"
"08/01/2013","1,398.46","1,376.31","1,400.15","1,375.93","","1.65%"
"07/31/2013","1,375.79","1,387.31","1,392.40","1,375.38","","-0.83%"
"07/30/2013","1,387.31","1,398.24","1,409.21","1,386.21","","-0.79%"
"07/29/2013","1,398.30","1,403.31","1,410.73","1,397.93","","-0.34%"
"07/26/2013","1,403.14","1,401.94","1,410.44","1,400.70","","0.09%"
"07/25/2013","1,401.88","1,408.42","1,409.56","1,396.11","","-0.39%"
"07/24/2013","1,407.41","1,418.33","1,419.31","1,402.78","","-0.70%"
"07/23/2013","1,417.34","1,415.48","1,432.30","1,415.48","","0.13%"
"07/22/2013","1,415.52","1,421.67","1,429.36","1,408.83","","-0.43%"
"07/19/2013","1,421.67","1,417.47","1,436.15","1,408.90","","0.36%"
"07/18/2013","1,416.63","1,431.30","1,439.60","1,408.66","","-1.06%"
"07/17/2013","1,431.80","1,409.21","1,432.35","1,407.15","","1.54%"
"07/16/2013","1,410.10","1,403.43","1,416.97","1,399.84","","0.47%"
"07/15/2013","1,403.56","1,396.38","1,409.11","1,393.40","","0.38%"
"07/12/2013","1,398.22","1,368.11","1,398.48","1,366.54","","2.20%"
"07/11/2013","1,368.11","1,333.12","1,370.07","1,332.26","","2.58%"
"07/10/2013","1,333.71","1,345.48","1,349.64","1,330.73","","-0.89%"
"07/09/2013","1,345.73","1,349.80","1,355.14","1,342.51","","-0.23%"
"07/08/2013","1,348.88","1,343.25","1,351.71","1,338.57","","0.46%"
"07/05/2013","1,342.72","1,348.94","1,360.80","1,340.22","","-0.48%"
"07/04/2013","1,349.21","1,333.40","1,349.85","1,331.64","","1.19%"
"07/03/2013","1,333.35","1,338.28","1,338.98","1,324.27","","-0.34%"
"07/02/2013","1,337.92","1,334.44","1,339.92","1,328.85","","0.13%"
"07/01/2013","1,336.17","1,330.46","1,337.04","1,319.81","","0.43%"
"06/28/2013","1,330.46","1,314.68","1,330.81","1,311.08","","1.31%"
"06/27/2013","1,313.23","1,320.39","1,325.71","1,305.03","","-0.54%"
"06/26/2013","1,320.39","1,297.59","1,325.79","1,297.49","","1.76%"
"06/25/2013","1,297.59","1,289.76","1,309.54","1,287.93","","0.57%"
"06/24/2013","1,290.26","1,298.41","1,304.70","1,284.90","","-0.66%"
"06/21/2013","1,298.89","1,297.01","1,316.00","1,290.47","","0.14%"
"06/20/2013","1,297.01","1,323.55","1,325.64","1,293.18","","-2.01%"
"06/19/2013","1,323.57","1,334.66","1,340.26","1,316.88","","-0.87%"
"06/18/2013","1,335.14","1,325.09","1,342.28","1,319.73","","0.74%"
"06/17/2013","1,325.27","1,300.02","1,328.66","1,298.56","","1.97%"
"06/14/2013","1,299.61","1,282.46","1,306.61","1,279.55","","1.38%"
"06/13/2013","1,281.89","1,302.52","1,302.94","1,271.39","","-1.49%"
"06/11/2013","1,301.31","1,335.25","1,340.78","1,298.25","","-2.54%"
"06/10/2013","1,335.25","1,343.90","1,357.18","1,328.38","","-0.64%"
"06/07/2013","1,343.90","1,316.32","1,347.81","1,315.42","","2.05%"
"06/06/2013","1,316.92","1,326.73","1,328.84","1,314.38","","-0.74%"
"06/05/2013","1,326.78","1,341.33","1,343.45","1,321.06","","-1.11%"
"06/04/2013","1,341.62","1,337.52","1,358.05","1,337.44","","0.32%"
"06/03/2013","1,337.40","1,350.17","1,353.47","1,324.54","","-0.95%"
"05/31/2013","1,350.17","1,362.00","1,372.24","1,340.39","","-0.81%"
"05/30/2013","1,361.26","1,361.16","1,373.37","1,355.40","","-0.01%"
"05/29/2013","1,361.43","1,397.54","1,397.54","1,360.89","","-2.60%"
"05/28/2013","1,397.72","1,378.25","1,404.42","1,378.07","","1.41%"
"05/27/2013","1,378.29","1,380.92","1,389.96","1,373.20","","-0.19%"
"05/24/2013","1,380.88","1,397.75","1,404.88","1,376.22","","-1.15%"
"05/23/2013","1,396.91","1,448.56","1,449.62","1,393.12","","-3.56%"
"05/22/2013","1,448.42","1,423.11","1,453.69","1,422.40","","1.79%"
"05/21/2013","1,422.99","1,406.94","1,425.79","1,399.41","","1.15%"
"05/20/2013","1,406.86","1,401.43","1,413.42","1,399.68","","0.36%"
"05/17/2013","1,401.79","1,373.53","1,405.32","1,372.57","","2.05%"
"05/16/2013","1,373.65","1,392.54","1,395.17","1,373.10","","-1.32%"
"05/15/2013","1,391.98","1,405.65","1,409.65","1,384.97","","-0.98%"
"05/14/2013","1,405.76","1,414.79","1,421.14","1,398.65","","-0.76%"
"05/13/2013","1,416.50","1,426.25","1,427.03","1,409.34","","-0.68%"
"05/10/2013","1,426.25","1,431.31","1,446.34","1,421.53","","-0.47%"
"05/08/2013","1,432.94","1,430.12","1,436.07","1,421.41","","0.19%"
"05/07/2013","1,430.18","1,413.02","1,431.06","1,407.95","","1.19%"
"05/06/2013","1,413.43","1,408.03","1,417.99","1,406.20","","0.38%"
"05/03/2013","1,408.03","1,377.45","1,408.05","1,377.14","","2.29%"
"05/02/2013","1,376.56","1,385.88","1,386.69","1,369.52","","-0.67%"
"04/30/2013","1,385.88","1,363.38","1,389.76","1,360.58","","1.71%"
"04/29/2013","1,362.57","1,373.57","1,380.10","1,360.54","","-0.69%"
"04/26/2013","1,372.04","1,372.50","1,375.73","1,358.28","","-0.01%"
"04/25/2013","1,372.20","1,377.33","1,386.31","1,368.05","","-0.35%"
"04/24/2013","1,377.01","1,339.51","1,378.03","1,337.53","","2.77%"
"04/23/2013","1,339.91","1,337.22","1,342.79","1,320.73","","0.23%"
"04/22/2013","1,336.84","1,338.67","1,354.84","1,324.58","","-0.12%"
"04/19/2013","1,338.43","1,335.57","1,346.39","1,330.02","","0.24%"
"04/18/2013","1,335.21","1,335.91","1,350.67","1,333.73","","-0.05%"
"04/17/2013","1,335.89","1,353.41","1,358.61","1,328.84","","-1.22%"
"04/16/2013","1,352.37","1,358.23","1,366.45","1,349.93","","-0.54%"
"04/15/2013","1,359.69","1,385.62","1,387.94","1,351.83","","-1.89%"
"04/12/2013","1,385.84","1,400.92","1,401.46","1,380.57","","-1.13%"
"04/11/2013","1,401.73","1,425.19","1,428.84","1,397.82","","-1.67%"
"04/10/2013","1,425.50","1,425.79","1,432.55","1,419.96","","0.00%"
"04/09/2013","1,425.49","1,408.81","1,427.29","1,408.81","","1.20%"
"04/08/2013","1,408.55","1,417.28","1,430.58","1,406.67","","-0.57%"
"04/05/2013","1,416.69","1,426.61","1,430.55","1,410.47","","-0.71%"
"04/04/2013","1,426.87","1,427.42","1,440.62","1,416.75","","-0.07%"
"04/03/2013","1,427.94","1,430.30","1,433.81","1,422.48","","-0.17%"
"04/02/2013","1,430.30","1,428.29","1,435.12","1,424.90","","0.13%"
"04/01/2013","1,428.47","1,438.84","1,442.70","1,427.83","","-0.70%"
"03/29/2013","1,438.57","1,434.88","1,440.10","1,432.80","","0.31%"
"03/28/2013","1,434.18","1,424.56","1,434.38","1,414.96","","0.64%"
"03/27/2013","1,425.00","1,416.78","1,426.68","1,407.22","","0.56%"
"03/26/2013","1,417.00","1,427.99","1,432.41","1,412.41","","-0.80%"
"03/25/2013","1,428.46","1,441.26","1,458.58","1,425.78","","-0.89%"
"03/22/2013","1,441.36","1,459.17","1,460.39","1,440.27","","-1.22%"
"03/21/2013","1,459.22","1,458.24","1,466.95","1,457.93","","0.01%"
"03/20/2013","1,459.03","1,448.84","1,460.66","1,442.68","","0.68%"
"03/19/2013","1,449.20","1,461.88","1,469.78","1,448.55","","-0.93%"
"03/18/2013","1,462.82","1,495.71","1,497.90","1,449.22","","-2.16%"
"03/15/2013","1,495.11","1,498.83","1,515.16","1,493.61","","-0.26%"
"03/14/2013","1,498.97","1,495.73","1,504.74","1,490.35","","0.17%"
"03/13/2013","1,496.37","1,501.41","1,510.67","1,493.55","","-0.36%"
"03/12/2013","1,501.76","1,503.98","1,506.42","1,494.92","","-0.15%"
"03/11/2013","1,504.05","1,491.14","1,516.49","1,491.14","","0.85%"
"03/07/2013","1,491.35","1,491.99","1,498.29","1,489.02","","-0.01%"
"03/06/2013","1,491.49","1,485.04","1,498.07","1,485.04","","0.49%"
"03/05/2013","1,484.22","1,463.98","1,486.19","1,462.49","","1.35%"
"03/04/2013","1,464.45","1,473.54","1,477.27","1,461.45","","-0.62%"
"03/01/2013","1,473.54","1,486.06","1,487.46","1,466.84","","-0.84%"
"02/28/2013","1,486.04","1,487.17","1,496.61","1,483.24","","-0.08%"
"02/27/2013","1,487.17","1,484.67","1,491.64","1,481.11","","0.17%"
"02/26/2013","1,484.67","1,503.75","1,504.98","1,482.01","","-1.26%"
"02/25/2013","1,503.66","1,496.61","1,506.47","1,493.35","","0.47%"
"02/22/2013","1,496.61","1,493.71","1,501.69","1,491.83","","0.19%"
"02/21/2013","1,493.71","1,511.40","1,512.27","1,486.49","","-1.17%"
"02/20/2013","1,511.40","1,522.69","1,526.34","1,511.08","","-0.74%"
"02/19/2013","1,522.69","1,510.33","1,523.35","1,509.54","","0.82%"
"02/18/2013","1,510.35","1,508.19","1,511.72","1,498.30","","0.14%"
"02/15/2013","1,508.17","1,519.22","1,520.14","1,500.79","","-0.73%"
"02/14/2013","1,519.22","1,537.93","1,550.03","1,514.14","","-1.22%"
"02/13/2013","1,537.93","1,512.03","1,541.00","1,512.03","","1.71%"
"02/12/2013","1,512.03","1,515.87","1,518.75","1,507.54","","-0.25%"
"02/11/2013","1,515.89","1,519.93","1,527.03","1,515.39","","-0.26%"
"02/08/2013","1,519.91","1,526.12","1,527.19","1,510.83","","-0.39%"
"02/07/2013","1,525.88","1,530.38","1,533.06","1,518.86","","-0.29%"
"02/06/2013","1,530.38","1,540.39","1,553.19","1,526.93","","-0.65%"
"02/05/2013","1,540.36","1,535.37","1,540.63","1,528.49","","0.33%"
"02/04/2013","1,535.35","1,547.22","1,553.38","1,533.42","","-0.77%"
"02/01/2013","1,547.22","1,546.52","1,555.83","1,543.13","","0.03%"
"01/31/2013","1,546.76","1,543.43","1,547.37","1,535.52","","0.22%"
"01/30/2013","1,543.43","1,549.75","1,559.47","1,537.08","","-0.41%"
"01/29/2013","1,549.75","1,562.93","1,566.42","1,549.18","","-0.84%"
"01/28/2013","1,562.93","1,544.02","1,563.93","1,543.24","","1.22%"
"01/25/2013","1,544.02","1,533.77","1,544.85","1,526.02","","0.67%"
"01/24/2013","1,533.77","1,537.44","1,537.44","1,518.82","","-0.24%"
"01/23/2013","1,537.49","1,525.28","1,538.13","1,523.81","","0.80%"
"01/22/2013","1,525.36","1,537.68","1,540.03","1,517.01","","-0.80%"
"01/21/2013","1,537.66","1,540.57","1,542.80","1,533.26","","-0.19%"
"01/18/2013","1,540.55","1,523.74","1,542.11","1,523.73","","1.10%"
"01/17/2013","1,523.74","1,514.86","1,524.94","1,513.62","","0.59%"
"01/16/2013","1,514.86","1,515.25","1,517.34","1,507.33","","-0.03%"
"01/15/2013","1,515.25","1,528.48","1,528.48","1,515.16","","-0.87%"
"01/14/2013","1,528.48","1,510.84","1,529.57","1,510.21","","1.17%"
"01/11/2013","1,510.84","1,507.16","1,513.04","1,503.38","","0.24%"
"01/10/2013","1,507.16","1,516.01","1,518.41","1,506.96","","-0.58%"
"01/09/2013","1,516.01","1,514.82","1,517.20","1,510.61","","0.08%"
"01/08/2013","1,514.82","1,474.73","1,517.88","1,474.73","","2.72%"
"12/28/2012","1,474.72","1,478.22","1,480.37","1,472.55","","-0.24%"
"12/27/2012","1,478.24","1,478.61","1,482.35","1,475.82","","-0.03%"
"12/26/2012","1,478.61","1,473.53","1,479.50","1,471.17","","0.34%"
"12/25/2012","1,473.53","1,471.73","1,475.08","1,467.21","","0.12%"
"12/24/2012","1,471.73","1,477.44","1,482.27","1,471.47","","-0.39%"
"12/21/2012","1,477.44","1,487.99","1,490.51","1,470.24","","-0.72%"
"12/20/2012","1,488.22","1,478.81","1,488.60","1,468.90","","0.63%"
"12/19/2012","1,478.83","1,481.54","1,487.46","1,477.03","","-0.18%"
"12/18/2012","1,481.54","1,469.53","1,486.57","1,467.26","","0.82%"
"12/17/2012","1,469.53","1,466.16","1,470.27","1,458.44","","0.23%"
"12/14/2012","1,466.15","1,462.87","1,471.20","1,460.51","","0.22%"
"12/13/2012","1,462.87","1,466.50","1,472.01","1,454.64","","-0.25%"
"12/12/2012","1,466.51","1,448.36","1,469.45","1,448.33","","1.25%"
"12/11/2012","1,448.43","1,447.72","1,453.18","1,441.68","","0.05%"
"12/10/2012","1,447.72","1,441.47","1,455.20","1,438.51","","0.43%"
"12/07/2012","1,441.47","1,438.54","1,443.97","1,427.85","","0.20%"
"12/06/2012","1,438.54","1,435.96","1,449.44","1,434.35","","0.18%"
"12/05/2012","1,435.97","1,411.84","1,441.45","1,411.83","","1.71%"
"12/04/2012","1,411.83","1,421.94","1,421.94","1,407.84","","-0.71%"
"12/03/2012","1,421.97","1,405.97","1,422.20","1,403.70","","1.14%"
"11/30/2012","1,405.97","1,388.31","1,411.21","1,384.18","","1.27%"
"11/29/2012","1,388.31","1,380.94","1,396.37","1,378.70","","0.53%"
"11/28/2012","1,380.94","1,394.85","1,395.54","1,379.46","","-1.00%"
"11/27/2012","1,394.87","1,403.94","1,412.86","1,392.28","","-0.65%"
"11/26/2012","1,403.94","1,413.15","1,417.53","1,399.61","","-0.65%"
"11/23/2012","1,413.15","1,402.64","1,414.05","1,401.44","","0.75%"
"11/22/2012","1,402.64","1,405.70","1,411.91","1,401.57","","-0.22%"
"11/21/2012","1,405.70","1,396.39","1,408.13","1,389.06","","0.67%"
"11/20/2012","1,396.39","1,398.57","1,402.73","1,389.47","","-0.16%"
"11/19/2012","1,398.57","1,383.65","1,400.76","1,383.09","","1.08%"
"11/16/2012","1,383.66","1,386.25","1,388.90","1,375.06","","-0.19%"
"11/15/2012","1,386.25","1,372.19","1,387.67","1,364.36","","1.02%"
"11/14/2012","1,372.19","1,373.84","1,382.07","1,360.07","","-0.12%"
"11/13/2012","1,373.83","1,407.90","1,409.03","1,370.36","","-2.42%"
"11/12/2012","1,407.90","1,401.19","1,410.83","1,394.49","","0.47%"
"11/09/2012","1,401.32","1,407.79","1,408.28","1,392.80","","-0.46%"
"11/08/2012","1,407.79","1,423.36","1,424.31","1,395.46","","-1.09%"
"11/07/2012","1,423.36","1,446.39","1,453.47","1,422.00","","-1.60%"
"11/06/2012","1,446.46","1,440.25","1,450.83","1,436.61","","0.43%"
"11/02/2012","1,440.25","1,430.92","1,444.38","1,428.78","","0.65%"
"11/01/2012","1,430.91","1,425.71","1,432.39","1,407.46","","0.37%"
